10k	4.536	4.308
20k	5.230	5.283
30k	5.552	5.747
40k	5.603	5.989
50k	5.444	6.035
60k	5.479	6.092
70k	5.550	6.128
80k	5.567	6.158
90k	5.524	6.160
100k	5.573	6.085
