5k	8.962	2.914	425.323
10k	16.101	10.326	405.228
20k	82.608	32.340	451.236
30k	119.579	51.044	381.224
40k	146.153	59.960	409.944
50k	162.115	75.637	467.250
60k	165.217	83.618	710.144
70k	164.197	120.909	713.254
80k	167.493	113.221	857.313
90k	167.100	146.571	847.441
100k	169.340	190.571	931.388
200k	170.556	328.152	950.543
300k	171.549	357.665	954.139
400k	171.819	374.062	1064.708
500k	172.245	385.802	1050.501
600k	172.314	378.968	1055.962
700k	172.308	387.997	1089.615
800k	172.494	391.248	1057.565
900k	172.460	383.733	1043.013
1m	172.617	393.693	1054.249
