0	0.46
1	1.466
2	7.891
3	31.224
4	2956.792

	
0	0.118
1	0.092
2	0.293
3	1.122
4	110.070
	

0	0.184
1	0.235
2	0.628
3	0.997
4	48.261
	
	
0	0.005
1	0.017
2	0.102
3	0.204
4	18.022
